tmID,year,confID,playoff,winRatio,rank,confW,confL,min,attend,fgm,fga,ftm,fta,3pm,3pa,oreb,dreb,reb,asts,pf,stl,to,blk,pts,homeW,homeL,awayW,awayL,won,lost,BPassists,BPsteals,BPpoints,coachWinRatio,coachPostWinRatio
CHA,2,EA,Y,0.7142857142857143,8.0,5.0,16.0,6475.0,90963.0,0.9237770193401592,0.9860103626943005,0.8086303939962476,0.8058659217877095,0.9492753623188406,0.9125295508274232,0.9355828220858896,0.9487951807228916,0.9444444444444444,0.924496644295302,1.1963087248322148,0.8571428571428571,1.164319248826291,0.7317073170731707,0.8999588307945656,0.15625,0.34375,0.09375000000000001,0.40625,0.25,0.7500000000000001,121.0,55.0,565.0,0.391304347826087,0.0
CLE,2,EA,Y,0.7142857142857143,2.0,13.0,8.0,6500.0,137532.0,1.045219638242894,1.0380465644520158,0.9362637362637363,0.9777015437392796,1.184873949579832,1.1059782608695652,1.1949458483754514,1.011744966442953,1.0698739977090492,0.998148148148148,0.9336219336219336,0.8491803278688524,0.9746376811594203,0.9578947368421052,1.029688972667295,0.40625,0.09375000000000001,0.125,0.37500000000000006,0.53125,0.46875,61.0,29.0,373.0,1.1333333333333333,1.0
DET,2,EA,N,0.3333333333333333,5.0,10.0,11.0,6425.0,107289.0,0.9591160220994475,1.0066090493136757,1.08125,1.072085889570552,0.5588235294117647,0.7338709677419355,1.0302114803625377,1.00625,1.0144181256436664,0.9805068226120858,1.0431547619047619,0.9154929577464789,0.9760589318600368,0.5945945945945945,0.9608408903544929,0.25,0.25,0.18750000000000003,0.3125,0.4375,0.5625,39.0,20.0,440.99999999999994,0.0,0.0
HOU,2,WE,Y,0.6190476190476191,2.0,17.0,4.0,6475.0,196077.0,1.133587786259542,0.977296181630547,1.4081081081081082,1.2480314960629921,1.3870967741935485,1.174641148325359,0.9413793103448276,1.1830065359477124,1.105321507760532,1.0443974630021142,0.8549382716049383,1.2188841201716738,0.9166666666666667,1.223529411764706,1.1979670861568248,0.4375,0.0625,0.40625,0.09375000000000001,0.84375,0.15625,48.00000000000001,47.0,540.0,5.4,6.000000000000001
IND,2,EA,N,0.3333333333333333,7.0,7.0,14.0,6425.0,180270.0,0.9487485101311085,0.9839400428265525,0.8508946322067594,0.8505231689088192,1.7706422018348624,1.4553072625698324,0.8878504672897196,1.0221169036334914,0.9769392033542977,0.9488636363636364,1.0490196078431373,1.0149812734082397,1.088235294117647,1.6799999999999997,0.9663755458515284,0.15625,0.34375,0.125,0.37500000000000006,0.28125,0.71875,101.0,76.0,352.0,0.0,0.0
LAS,2,WE,Y,0.9047619047619048,1.0,17.0,4.0,6450.0,105005.0,1.1095360824742269,0.9964340295466123,1.101010101010101,1.0014450867052023,1.2295081967213115,1.0944309927360776,1.0266666666666666,1.154867256637168,1.1155419222903886,1.3168539325842696,1.0846153846153845,1.1152263374485596,0.9608247422680413,1.4857142857142858,1.1143384047948364,0.46875,0.03125,0.40625,0.09375000000000001,0.875,0.125,60.0,31.0,570.0,7.0,1.0
MIA,2,EA,Y,0.6666666666666666,6.000000000000001,9.0,12.000000000000002,6475.0,127721.0,0.9048951048951049,1.058472553699284,0.9955947136563876,1.059011164274322,0.7264957264957265,0.9841269841269841,1.3272727272727274,0.9182098765432098,1.0400866738894907,0.9975961538461539,1.0695915279878971,1.1012145748987854,0.9924242424242424,0.7457627118644068,0.9150424787606197,0.28125,0.21875,0.125,0.37500000000000006,0.40625,0.59375,66.0,35.0,396.0,0.6842105263157895,0.0
MIN,2,WE,N,0.42857142857142855,6.000000000000001,5.0,16.0,6425.0,116638.0,1.0198675496688743,1.0415244596131967,0.8735408560311284,0.8433048433048433,1.2439024390243902,1.187110187110187,0.86,0.9039881831610044,0.8904810644831116,1.048728813559322,0.9759547383309759,0.8618181818181818,0.9085923217550275,0.4846153846153846,1.0022851919561244,0.25,0.25,0.21875,0.28125,0.46875,0.53125,90.0,44.0,646.0,0.8823529411764706,0.0
NYL,2,EA,Y,0.6190476190476191,1.0,14.0,7.0,6425.0,231962.0,1.0688259109311742,0.9961580680570802,0.9816933638443935,0.9610169491525423,1.1637931034482758,0.9428571428571428,0.9,1.007727975270479,0.9720785935884177,1.0324675324675325,0.9565891472868217,1.1031390134529149,0.9895615866388309,1.0851063829787233,1.0555282555282555,0.37500000000000006,0.125,0.25,0.25,0.625,0.37500000000000006,28.0,58.99999999999999,427.0,1.6666666666666665,1.333333333333333
ORL,2,EA,N,0.42857142857142855,3.0000000000000004,13.0,8.0,6500.0,117810.0,0.9788484136310224,0.9730142566191446,1.0502645502645502,1.103030303030303,0.9477124183006536,0.9422222222222222,0.9166666666666667,0.905829596412556,0.9095378564405113,0.8824626865671642,0.9152276295133438,0.9659090909090909,0.972,1.2037037037037037,0.9888042991491267,0.34375,0.15625,0.15625,0.34375,0.5,0.5,169.0,58.0,381.0,1.0,0.5
PHO,2,WE,N,0.38095238095238093,4.0,11.0,10.0,6425.0,161075.0,1.0388098318240622,0.9846827133479212,1.2185273159144894,1.1515679442508708,0.9185185185185185,0.9471153846153846,0.8233532934131736,0.9748031496062992,0.9226006191950464,0.9567901234567902,0.9012875536480687,1.2723214285714284,0.807909604519774,1.0,1.0670789724072312,0.34375,0.15625,0.28125,0.21875,0.625,0.37500000000000006,86.0,66.0,608.0,0.0,0.0
POR,2,WE,N,0.23809523809523808,7.0,4.0,17.0,6525.0,133076.0,0.9657360406091371,0.989713048186248,0.8457538994800693,0.9099216710182768,0.9666666666666667,0.9686800894854586,1.006514657980456,0.9705882352941176,0.9821615949632738,0.9856262833675564,1.0438957475994513,0.9566787003610109,1.1167608286252355,0.7153846153846155,0.93573599652627,0.18750000000000003,0.3125,0.125,0.37500000000000006,0.3125,0.6875,68.0,38.0,538.0,0.45454545454545453,0.0
SAC,2,WE,Y,0.6190476190476191,3.0000000000000004,13.0,8.0,6400.0,126841.0,1.0801479654747226,1.0391032325338894,1.0951219512195123,1.1948529411764706,0.9861111111111112,1.0980861244019138,1.2125,1.0301109350237718,1.0914826498422714,1.1272365805168987,0.9516666666666667,1.4690265486725664,0.8740458015267175,1.353448275862069,1.0767463235294117,0.40625,0.09375000000000001,0.25,0.25,0.65625,0.34375,47.0,83.0,523.0,1.9090909090909092,0.0
SEA,2,WE,N,0.2857142857142857,8.0,4.0,17.0,6475.0,142594.0,0.8573264781491002,1.011040092969204,0.7610441767068273,0.8577981651376146,0.9316239316239316,1.089820359281437,0.8888888888888888,0.7447988904299584,0.7859266600594648,0.7707509881422924,1.0485436893203883,0.897887323943662,0.9924385633270322,0.7560975609756098,0.8392445877475817,0.125,0.37500000000000006,0.0625,0.4375,0.18750000000000003,0.8125,79.0,61.0,168.0,0.2307692307692308,0.0
UTA,2,WE,Y,0.5238095238095238,5.0,13.0,8.0,6400.0,103442.0,0.997674418604651,0.9653767820773932,1.1468926553672316,1.0957004160887656,0.5641025641025641,0.5848214285714286,1.1118210862619808,1.2240802675585285,1.1855104281009876,1.0377733598409542,0.9943019943019943,0.7109634551495017,1.2448512585812357,1.4017857142857142,1.002492729538845,0.37500000000000006,0.125,0.18750000000000003,0.3125,0.5625,0.4375,51.0,35.0,543.0,1.2857142857142858,0.0
WAS,2,EA,N,0.19047619047619047,4.0,13.0,8.0,6400.0,244134.0,0.9846153846153847,0.9669333333333333,1.0549738219895288,1.0414414414414415,0.7315436241610739,0.8438287153652394,1.0033444816053512,1.0555555555555556,1.0384193194291986,1.0155945419103314,1.0033613445378151,0.9386973180076629,1.1096491228070176,1.2352941176470589,0.9797388563710041,0.21875,0.28125,0.21875,0.28125,0.4375,0.5625,80.0,47.0,561.0,0.0,0.0
